usuario_id,qtd_jogos,qtd_avaliacoes
5314806,12,1
5460885,135,1
6280571,99,2
725634,759,1
3694051,19,1
3713296,195,1
3980275,476,7
4746480,99,2
5347461,585,1
5511546,498,1
5768082,29,3
5790384,1068,20
5829302,520,9
5934547,200,6
6659689,191,7
6744682,419,6
23093,494,36
95653,608,4
110655,312,4
699985,126,1
857247,878,13
1245712,1543,1
1539592,457,1
1544709,231,3
1889639,458,1
2409060,1882,49
2460543,1575,4
2461773,966,2
2475081,192,6
2505410,51,1
2752589,504,55
2757857,817,8
3282630,99,1
3348675,218,2
3559850,1278,3
3591718,350,23
3607408,114,2
3677020,212,6
3696692,160,7
3709711,400,5
3893424,35,1
3977709,163,4
3979350,182,1
4008391,231,1
4029963,574,1
4060639,340,3
4073921,350,15
4209725,184,1
4210408,59,5
4284164,257,6
4286868,570,6
4308952,248,3
4322386,475,12
4399017,742,122
4464669,120,5
4468155,263,1
4508908,369,4
4532981,77,1
4590380,123,4
4616210,310,4
4740373,511,6
4755551,143,2
4779039,278,10
4833059,314,8
4943621,177,4
4958560,200,4
5000491,71,1
5039549,151,8
5041259,490,1
5074819,384,7
5107007,50,2
5112656,154,2
5126051,56,3
5134923,254,2
5163044,443,16
5167248,168,6
5172138,101,8
5178194,761,16
5181429,530,4
5204201,296,1
5210091,696,39
5233456,989,10
5252941,256,4
5259960,291,11
5266012,301,13
5285966,82,9
5293340,634,9
5320436,178,1
5322264,48,2
5327648,309,28
5331515,89,4
5334027,197,1
5334388,408,6
5335376,98,4
5339102,111,1
5351252,101,12
5354488,60,2
5355403,114,3
5359425,170,1
5359821,75,1
5363450,76,1
5366036,391,1
5369109,390,24
5373345,55,7
5373960,41,1
5376916,129,5
5380088,142,6
5396913,554,12
5404603,3169,12
5405015,137,1
5408461,481,14
5409987,373,2
5414447,306,1
5438374,685,39
5460741,98,3
5460822,31,1
5474670,36,2
5477257,65,1
5479919,185,2
5484826,405,6
5504049,47,6
5507766,144,1
5510849,54,1
5516542,548,4
5521976,425,2
5535770,154,12
5559513,139,5
5559647,114,2
5575204,644,4
5580858,193,1
5598130,2622,42
5603085,608,2
5605261,330,2
5606663,102,5
5628037,133,1
5629706,1161,3
5651772,1267,51
5653706,297,1
5680115,171,10
5692576,359,2
5705599,61,3
5720481,268,1
5761100,102,8
5763903,1822,16
5766865,16,1
5795995,77,1
5806120,29,1
5811907,102,1
5816444,184,3
5834050,53,2
5836122,48,2
5839606,253,3
5850546,128,8
5854463,265,50
5861532,218,3
5866546,152,4
5869199,87,2
5888650,429,5
5888881,503,16
5900272,87,4
5903638,183,3
5908211,217,5
5920863,460,3
5927521,82,2
5932337,153,3
5935103,57,2
5951410,240,5
5954502,61,2
5960077,195,6
5960528,823,3
5973633,251,1
5992987,86,2
6090992,93,4
6112360,104,5
6154150,213,9
6154815,264,1
6179241,470,9
6212571,213,5
6224271,274,2
6264310,167,8
6267029,54,6
6273792,143,5
6292421,80,1
6337571,116,2
6343582,62,1
6359407,261,1
6367713,18,1
6383256,280,1
6433901,284,1
6446777,243,1
6455288,155,11
6485883,1558,7
6487288,136,1
6581183,231,4
6620084,121,3
6634053,51,2
6659895,83,1
6669711,102,2
6684498,312,2
6698826,35,1
6705222,155,3
6720018,151,26
6727520,232,5
6729051,526,9
6735076,149,1
6740411,206,7
6773448,290,1
6779348,37,5
6812128,773,7
6817939,286,19
6835338,0,1
6844163,272,1
